,arti,arti_id,count
0,Ed Sheeran,613,7392
1,Post Malone,287,7152
2,Drake,181,5200
3,XXXTENTACION,709,5175
4,The Chainsmokers,460,4181
5,Billie Eilish,421,3804
6,Ariana Grande,359,3403
7,Imagine Dragons,776,3084
8,Khalid,778,3014
9,Ozuna,126,2572
