,rank,average days
0,1,25.372093023255815
1,2,23.21276595744681
2,3,23.717391304347824
3,4,25.52046783625731
4,5,26.352657004830917
5,6,27.974358974358974
6,7,29.14885496183206
7,8,30.732394366197184
8,9,31.87987012987013
9,10,33.06060606060606
10,11,33.522346368715084
11,12,35.00534759358289
12,13,35.99746192893401
13,14,35.77049180327869
14,15,36.36666666666667
15,16,36.51882845188285
16,17,36.72673267326733
17,18,36.84427767354597
18,19,36.88434163701068
19,20,37.2991452991453
20,21,37.559016393442626
21,22,38.21974522292994
22,23,38.964285714285715
23,24,39.19760479041916
24,25,39.75947521865889
25,26,40.12164073550212
26,27,40.46291208791209
27,28,40.730666666666664
28,29,41.03631647211414
29,30,41.27364438839849
30,31,41.70283600493218
31,32,42.113389626055486
32,33,42.40636042402827
33,34,42.78431372549019
34,35,43.001126126126124
35,36,43.688542825361516
36,37,43.78199566160521
37,38,44.198294243070364
38,39,44.55392670157068
39,40,44.667349027635616
40,41,45.22851365015167
41,42,45.822
42,43,46.44851485148515
43,44,46.69649805447471
44,45,47.25216554379211
45,46,47.25612052730697
46,47,47.043119266055044
47,48,47.477787851314595
48,49,47.945291479820625
49,50,48.18904593639576
50,51,47.96637931034483
51,52,47.956043956043956
52,53,47.787603305785126
53,54,47.74230145867099
54,55,47.62301587301587
55,56,47.656786271450855
56,57,47.61638591117917
57,58,47.93787878787879
58,59,47.85799256505576
59,60,48.06167400881057
60,61,48.120751988430946
61,62,48.17806267806268
62,63,48.0314465408805
63,64,48.12129565816678
64,65,48.34014996591684
65,66,48.48888888888889
66,67,48.73133333333333
67,68,48.90441661173369
68,69,48.97787898503579
69,70,49.14414414414414
70,71,49.150380710659896
71,72,48.88114499066584
72,73,49.041256157635466
73,74,48.92969696969697
74,75,49.11464585834334
75,76,49.26678550207962
76,77,49.53242924528302
77,78,49.67775831873905
78,79,49.87789351851852
79,80,49.931350114416475
80,81,49.9271186440678
81,82,49.97877094972067
82,83,50.30722222222222
83,84,50.436984039625756
84,85,50.39945652173913
85,86,50.498385360602796
86,87,50.676454885210894
87,88,50.74418604651163
88,89,50.890461215932916
89,90,50.87564766839378
90,91,50.965605749486656
91,92,51.05391658189217
92,93,51.29575328614762
93,94,51.508789552988446
94,95,51.513419483101394
95,96,51.72148148148148
96,97,51.77446183953033
97,98,51.80135658914729
98,99,51.97738209817132
99,100,52.12613473483039
100,101,52.099763593380615
101,102,52.171589310829816
102,103,52.31517690875233
103,104,52.35994462390401
104,105,52.57228086278109
105,106,52.56636363636363
106,107,52.56055830706889
107,108,52.695885509838995
108,109,52.85288888888889
109,110,52.79806423229213
110,111,52.83638743455497
111,112,52.87408048463868
112,113,53.13922413793104
113,114,53.44821658788139
114,115,53.526023890784984
115,116,53.534686971235196
116,117,53.610667786644264
117,118,53.68557130942452
118,119,53.69272125723739
119,120,53.83223684210526
120,121,53.772301425661915
121,122,53.75686591276252
122,123,53.76322115384615
123,124,53.769475357710654
124,125,53.81807419100237
125,126,53.71864009378663
126,127,53.85036921881073
127,128,53.918146718146716
128,129,53.96434049079755
129,130,53.9277566539924
130,131,53.89177978883861
131,132,54.099173553719005
132,133,53.981770833333336
133,134,53.86661753868828
134,135,54.10911094783248
135,136,54.072886297376094
136,137,54.21363801233225
137,138,54.274693583273255
138,139,54.257245080500894
139,140,54.24005681818182
140,141,54.28052223006352
141,142,54.39676966292135
142,143,54.435799023028615
143,144,54.606882168925964
144,145,54.64421416234888
145,146,54.71865338371693
146,147,54.94244604316547
147,148,54.939775433821026
148,149,55.1421302578019
149,150,55.28716216216216
150,151,55.449680242342644
151,152,55.49933065595716
152,153,55.641
153,154,55.68909512761021
154,155,55.736651285431776
155,156,55.765399737876805
156,157,55.811990876507004
157,158,55.80382000647459
158,159,55.93969687197678
159,160,56.05651894669236
160,161,55.93980891719745
161,162,55.94871794871795
162,163,55.92232704402516
163,164,55.94871794871795
164,165,55.801301921884686
165,166,55.810785824345146
166,167,55.76890113253749
167,168,55.812423873325216
168,169,55.73730350665054
169,170,55.763680096211665
170,171,55.77309417040359
171,172,55.84880952380952
172,173,56.056727056727055
173,174,56.130691898285036
174,175,56.13790061746545
175,176,56.19432250512145
176,177,56.25021846781241
177,178,56.305595824876775
178,179,56.27925072046109
179,180,56.382428940568474
180,181,56.42028571428571
181,182,56.50597609561753
182,183,56.65522133938706
183,184,56.787553041018384
184,185,56.80692372642837
185,186,56.88982338099243
186,187,56.87677725118483
187,188,56.974444444444444
188,189,57.18219633943428
189,190,57.1676778819636
190,191,57.31050605060506
191,192,57.38958904109589
192,193,57.38975197601526
193,194,57.40547870897749
194,195,57.43655507559395
195,196,57.436475960247115
196,197,57.46711229946524
197,198,57.46687948922586
198,199,57.52755696873344
199,200,57.511860832894044
